level,m/C,MD/C
1.1,66.96,0.01036858947060114
1.1,67.83000000000001,0.01036858947060114
1.1,68.7,0.01036858947060114
1.1,69.57,0.01036858947060114
1.1,70.43,0.01036858947060114
1.1,71.3,0.01036858947060114
1.1,72.17,0.01036858947060114
1.1,73.04,0.01036858947060114
1.1,73.91,0.01036858947060114
1.1,74.78,0.01036858947060114
1.1,75.65,0.01036858947060114
1.1,76.52000000000001,0.01036858947060114
1.1,77.39,0.01036858947060114
1.1,78.26,0.01036858947060114
1.1,79.13,0.01036858947060114
1.2,24.350000000000005,-0.005535377324453769
1.2,25.22,-0.005535377165085393
1.2,26.09,-0.005535376501733885
1.2,26.96,-0.005535374382400532
1.2,27.83,-0.005535368710835673
1.2,28.7,-0.0055353553899871386
1.2,29.57,-0.005535324486959749
1.2,30.43,-0.00553524650741284
1.2,31.3,-0.005535042895023804
1.2,32.17,-0.0055345522144089375
1.2,33.04,-0.005533497537466305
1.2,33.91,-0.005531399044317483
1.2,34.78,-0.005527250477019915
1.2,35.65,-0.005518951493528058
1.2,36.52,-0.005502685652079471
1.2,37.39,-0.0054721527120242955
1.2,38.26,-0.005415637481349392
1.2,38.39563647312747,-0.0054
1.2,39.13,-0.005273895182726395
1.2,39.79458816455282,-0.005
1.2,39.92186834211362,-0.0046
1.2,39.68674194280918,-0.0041
1.2,39.29683564334064,-0.0037
1.2,39.13,-0.003559173170487866
1.2,38.83423455742672,-0.0033
1.2,38.42292513723411,-0.0028
1.2,38.26,-0.0025574029699993164
1.2,38.15167100106687,-0.0024
1.2,38.04792261441345,-0.002
1.2,38.065758292318534,-0.0015
1.2,38.11865761069979,-0.0011
1.2,38.155285761481835,-0.0006999999999999999
1.2,38.17180187823834,-0.0002
1.2,38.183573591971445,0.0002
1.2,38.202091134774676,0.0006999999999999999
1.2,38.22882326946938,0.0011
1.2,38.26,0.0014992208291589085
1.2,38.260062709175784,0.0015
1.2,38.29655431579144,0.002
1.2,38.34497098542798,0.0024
1.2,38.415020789049734,0.0028
1.2,38.5138307026906,0.0033
1.2,38.6441991150284,0.0037
1.2,38.8015308716575,0.0041
1.2,38.9676850943448,0.0046
1.2,39.115570349735144,0.005
1.2,39.13,0.005051394389934866
1.2,39.236061964999564,0.0054
1.2,39.31190972441479,0.0059
1.2,39.33518568267114,0.0063
1.2,39.31733417883002,0.006700000000000001
1.2,39.31639972826207,0.0072
1.2,39.41438275642268,0.0076
1.2,39.67733664914528,0.008
1.2,40.0,0.008346178313869386
1.2,40.209022424790604,0.0085
1.2,40.87,0.008760803371044254
1.2,41.50100136659027,0.0089
1.2,41.739999999999995,0.008941367322948516
1.2,42.61,0.009030568664818403
1.2,43.47999999999999,0.009074525307871478
1.2,44.35000000000001,0.009093877733736669
1.2,45.22,0.009102146130458394
1.2,46.09,0.009106371392012126
1.2,46.96,0.009108981540241146
1.2,47.83,0.009110504385894964
1.2,48.7,0.00911122188700576
1.2,49.57,0.00911148437679624
1.2,50.43,0.009111559950366728
1.2,51.3,0.009111578700500262
1.2,52.17,0.009111583216415435
1.2,53.04,0.009111583935309468
1.2,53.91,0.00911158414611361
1.2,54.78,0.009111584196030639
1.2,55.65,0.009111584205269104
1.2,56.52,0.009111584206497492
